user_id,age,district,free_text,future_anxiety,employment_burden,outside_burden,social_burden,energy_level,daily_rhythm_level,preferred_contact_mode,interests,max_outdoor_minutes,budget_limit,has_support_person,current_stage_label,created_at
user_0000,32,중구,취업해야 하는데 자신이 없고 사람 만나는 것도 부담돼요. 요즘은 거의 집에만 있어요.,3,3,1,2,1,2,online,"[""data""]",10,0,True,,2026-06-08T00:00:00+00:00
user_0001,29,남동구,도서관이나 전시처럼 혼자 갈 수 있는 곳이면 조금 가능할 것 같아요.,4,3,1,5,5,4,small_group,"[""culture"", ""writing"", ""library""]",20,5000,True,,2026-06-08T00:00:00+00:00
user_0002,21,강화군,짧은 글쓰기나 디자인 과제처럼 작은 결과물을 만들어보고 싶어요.,4,4,1,3,4,3,in_person,"[""library""]",45,20000,True,,2026-06-08T00:00:00+00:00
user_0003,30,부평구,진로를 다시 생각해보고 싶은데 바로 교육 신청은 부담스럽습니다.,2,2,1,3,1,1,low_contact,"[""media"", ""planning"", ""writing""]",30,0,False,,2026-06-08T00:00:00+00:00
user_0004,20,부평구,청년공간이 궁금하지만 처음 방문하는 게 조금 어색합니다.,4,4,5,2,2,3,low_contact,"[""IT""]",30,0,True,,2026-06-08T00:00:00+00:00
user_0005,26,강화군,짧은 글쓰기나 디자인 과제처럼 작은 결과물을 만들어보고 싶어요.,5,5,3,2,5,5,in_person,"[""public_policy"", ""writing""]",60,20000,False,,2026-06-08T00:00:00+00:00
user_0006,31,계양구,문화행사나 공모전 주제로 작은 포트폴리오를 만들고 싶습니다.,1,2,2,1,2,1,small_group,"[""library"", ""design""]",30,20000,False,,2026-06-08T00:00:00+00:00
user_0007,27,강화군,도서관이나 전시처럼 혼자 갈 수 있는 곳이면 조금 가능할 것 같아요.,4,4,1,5,1,1,low_contact,"[""writing"", ""media"", ""culture"", ""planning""]",10,5000,False,,2026-06-08T00:00:00+00:00
user_0008,28,연수구,취업해야 하는데 자신이 없고 사람 만나는 것도 부담돼요. 요즘은 거의 집에만 있어요.,2,3,5,3,5,5,low_contact,"[""culture"", ""design"", ""planning"", ""library""]",20,20000,False,,2026-06-08T00:00:00+00:00
user_0009,36,연수구,짧은 글쓰기나 디자인 과제처럼 작은 결과물을 만들어보고 싶어요.,4,3,4,5,1,2,online,"[""craft"", ""library"", ""IT""]",60,5000,False,,2026-06-08T00:00:00+00:00
user_0010,39,중구,진로를 다시 생각해보고 싶은데 바로 교육 신청은 부담스럽습니다.,2,2,4,2,5,4,online,"[""culture"", ""design""]",10,0,False,,2026-06-08T00:00:00+00:00
user_0011,32,부평구,청년공간이 궁금하지만 처음 방문하는 게 조금 어색합니다.,4,3,5,5,1,1,small_group,"[""IT"", ""design"", ""craft"", ""planning""]",60,10000,False,,2026-06-08T00:00:00+00:00
user_0012,33,연수구,밖에 나가는 건 어렵지만 오늘 할 수 있는 작은 준비부터 해보고 싶어요.,2,2,2,3,1,1,online,"[""writing"", ""library"", ""data"", ""media""]",90,20000,True,,2026-06-08T00:00:00+00:00
user_0013,31,중구,청년공간이 궁금하지만 처음 방문하는 게 조금 어색합니다.,3,3,1,1,5,5,in_person,"[""IT"", ""library"", ""culture"", ""design""]",30,10000,True,,2026-06-08T00:00:00+00:00
user_0014,35,강화군,도서관이나 전시처럼 혼자 갈 수 있는 곳이면 조금 가능할 것 같아요.,2,3,4,3,5,5,online,"[""culture"", ""data"", ""media""]",0,20000,True,,2026-06-08T00:00:00+00:00
user_0015,21,계양구,가족이 걱정해서 도움을 알아보라고 했는데 상담부터 시작하기는 어렵습니다.,4,5,1,2,2,3,online,"[""data""]",30,0,False,,2026-06-08T00:00:00+00:00
user_0016,19,서구,밖에 나가는 건 어렵지만 오늘 할 수 있는 작은 준비부터 해보고 싶어요.,5,5,2,3,3,4,small_group,"[""media"", ""planning"", ""design""]",10,20000,True,,2026-06-08T00:00:00+00:00
user_0017,28,옹진군,취업해야 하는데 자신이 없고 사람 만나는 것도 부담돼요. 요즘은 거의 집에만 있어요.,2,2,2,3,3,3,low_contact,"[""media"", ""craft""]",30,0,False,,2026-06-08T00:00:00+00:00
user_0018,27,중구,밖에 나가는 건 어렵지만 오늘 할 수 있는 작은 준비부터 해보고 싶어요.,3,3,4,1,2,2,online,"[""IT"", ""public_policy"", ""media""]",60,5000,True,,2026-06-08T00:00:00+00:00
user_0019,23,강화군,취업해야 하는데 자신이 없고 사람 만나는 것도 부담돼요. 요즘은 거의 집에만 있어요.,4,3,2,3,3,4,small_group,"[""craft"", ""culture"", ""design"", ""data""]",45,20000,False,,2026-06-08T00:00:00+00:00
user_0020,30,강화군,청년공간이 궁금하지만 처음 방문하는 게 조금 어색합니다.,4,4,2,1,4,3,small_group,"[""IT"", ""design""]",15,0,False,,2026-06-08T00:00:00+00:00
user_0021,20,서구,진로를 다시 생각해보고 싶은데 바로 교육 신청은 부담스럽습니다.,5,5,5,3,2,2,online,"[""library""]",20,10000,True,,2026-06-08T00:00:00+00:00
user_0022,36,부평구,취업해야 하는데 자신이 없고 사람 만나는 것도 부담돼요. 요즘은 거의 집에만 있어요.,5,5,3,2,2,2,online,"[""planning"", ""craft"", ""library""]",10,5000,True,,2026-06-08T00:00:00+00:00
user_0023,37,연수구,짧은 글쓰기나 디자인 과제처럼 작은 결과물을 만들어보고 싶어요.,5,5,1,1,3,4,low_contact,"[""data"", ""craft"", ""design"", ""IT""]",0,10000,True,,2026-06-08T00:00:00+00:00
user_0024,32,부평구,청년공간이 궁금하지만 처음 방문하는 게 조금 어색합니다.,4,5,2,3,5,5,small_group,"[""design"", ""public_policy"", ""craft""]",30,20000,True,,2026-06-08T00:00:00+00:00
user_0025,37,옹진군,가족이 걱정해서 도움을 알아보라고 했는데 상담부터 시작하기는 어렵습니다.,5,4,4,2,4,5,online,"[""public_policy"", ""IT"", ""library""]",90,10000,False,,2026-06-08T00:00:00+00:00
user_0026,19,중구,진로를 다시 생각해보고 싶은데 바로 교육 신청은 부담스럽습니다.,4,4,5,2,2,1,online,"[""IT"", ""data"", ""writing""]",90,20000,False,,2026-06-08T00:00:00+00:00
user_0027,32,연수구,도서관이나 전시처럼 혼자 갈 수 있는 곳이면 조금 가능할 것 같아요.,5,5,5,5,1,1,online,"[""culture"", ""design""]",90,0,False,,2026-06-08T00:00:00+00:00
